Time_on_site,Pages_viewed,Clicked_ad,Cart_value,Referral,Browser_Refresh_Rate,Last_Ad_Seen,Purchase,ID,Date_Accessed
2.29,5.37,1,10.0,Facebook,143.14,D,1,71,2025-03-27
7.49,16.36,0,25.52,Instagram,136.66,A,1,193,2025-07-21
5.71,13.69,0,10.0,Google,67.13,C,0,121,2025-02-21
1.23,3.22,1,41.49,Google,92.12,C,0,240,2025-05-03
3.55,10.72,0,21.57,Direct,70.31,B,0,287,2025-04-28
9.13,13.12,0,73.68,Direct,81.47,A,1,94,2025-02-25
0.5,1.39,0,27.07,Instagram,133.75,B,0,152,2025-02-19
3.93,8.07,0,258.0,Instagram,126.35,C,0,6,2025-02-07
8.16,22.83,1,61.84,Google,99.59,C,0,235,2025-01-13
2.83,8.84,1,14.96,Google,5.25,C,0,167,2025-03-13
3.3,9.9,1,10.0,Direct,186.17,A,1,86,2025-02-18
4.76,12.28,1,64.63,Facebook,118.86,D,1,188,2025-04-20
8.73,25.46,0,19.93,Google,82.8,D,0,145,2025-06-10
3.4,6.9,0,10.0,Google,174.99,D,0,143,2025-01-06
3.89,9.59,0,43.06,Facebook,50.42,C,0,59,2025-06-22
3.91,12.76,0,10.0,Facebook,52.82,C,0,197,2025-01-08
10.0,21.05,0,14.33,Google,180.45,C,1,271,2025-01-15
10.0,25.99,0,31.67,Direct,115.91,C,1,175,2025-06-04
7.51,17.39,0,74.84,Instagram,102.95,D,1,122,2025-05-04
5.97,14.33,0,27.19,Instagram,119.03,B,0,197,2025-07-18
6.84,18.5,1,17.96,Instagram,127.43,D,1,156,2025-04-20
8.73,20.64,1,10.45,Instagram,74.93,B,1,122,2025-06-05
2.66,6.65,0,23.56,Google,29.2,C,0,248,2025-02-18
7.94,17.85,0,10.0,Direct,162.79,A,0,198,2025-03-21
1.87,2.96,0,22.99,Direct,112.71,A,0,199,2025-01-29
3.41,8.84,1,15.65,Direct,141.7,D,0,58,2025-03-07
7.27,19.77,0,10.0,Google,54.04,A,1,117,2025-06-05
1.43,4.56,0,10.0,Google,117.1,C,0,299,2025-01-17
